INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Accommodation,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
4,0,4-0,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.29,4-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,1.30,4-1.30,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.31,4-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,1.32,4-1.32,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
8,0,8-0,ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10, 55.20 and 55.30 of NACE Rev.2).
2/ Short Term Survey. Hotels only. From 2012 to 2015, the classification used for SBS is NACE Rev. 2.
3/  From 2018 Source: Accomodation Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.29,8-1.29,,,,Guests,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,767,785,294,685,887,
8,1.30,8-1.30,,,,Overnights,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2144,2150,805,2031,2492,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.31,8-1.31,,,,Guests,,Thousands,2/ 3/,41,64,23,22,26,32,34,36,41,34,57,63,67,57,65,74,136,149,118,161,257,..,..,691,736,281,657,846,
8,1.32,8-1.32,,,,Overnights,,Thousands,2/ 3/,89,144,66,73,96,98,92,143,136,90,130,137,173,131,170,185,356,352,215,259,484,..,..,1894,1987,748,1932,2358,
12,0,12-0,ALGERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.29,12-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
12,1.30,12-1.30,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.31,12-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,443,589,790,834,851,347,..,202,
12,1.32,12-1.32,,,,Overnights,,Thousands,,76,61,85,133,159,203,226,292,376,394,483,528,574,596,674,754,845,937,994,838,839,993,1315,1345,1401,540,..,394,
16,0,16-0,AMERICAN SAMOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.29,16-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
16,1.30,16-1.30,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.31,16-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
16,1.32,16-1.32,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
