INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Tourism expenditure in the country,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
4,0,4-0,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.33,4-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,57,89,147,165,167,179,121,86,62,16,50,85,75,..,..,
4,1.34,4-1.34,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,17,36,75,85,102,138,109,79,49,2,28,72,65,..,..,
4,1.35,4-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,40,53,72,80,65,41,12,7,13,14,22,13,10,..,..,
8,0,8-0,ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.33,8-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,70,94,34,60,218,398,451,492,537,756,880,1057,1479,1850,2013,1778,1833,1623,1670,1849,1613,1821,2050,2306,2458,1243,2480,3255.1,
8,1.34,8-1.34,,,Travel,,,US$ Millions,,IMF,65,77,27,54,211,389,446,487,522,735,854,1012,1378,1715,1828,1611,1632,1463,1473,1700,1499,1693,1943,2186,2329,1134,2257,2957.1,
8,1.35,8-1.35,,,Passenger transport,,,US$ Millions,,IMF,5,17,7,6,7,9,5,5,15,21,26,45,101,135,185,167,201,160,197,149,114,128,107,120,129,109,223,298,
12,0,12-0,ALGERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.33,12-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,477,393,334,473,361,324,300,295,326,316,347,246,171,196,140,50,78.80000000000001,219.1,1/ 1995-2004: country data.
12,1.34,12-1.34,,,Travel,,,US$ Millions,1/,IMF,32,45,28,74,80,102,100,111,112,178,184,220,219,323,246,220,209,217,250,258,311,209,141,168,112,43,71.4,175.7,
12,1.35,12-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,293,173,115,150,115,104,91,78,76,58,36,37,30,28,28,7,7.4,43.4,
16,0,16-0,AMERICAN SAMOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
