INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Arrivals by main purpose,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
4,0,4-0,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.14,4-1.14,,,Total,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,1.15,4-1.15,,,,Personal,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,1.18,4-1.18,,,,Business and professional,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
8,0,8-0,ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad. Including in transit visitors.
8,1.14,8-1.14,,,Total,,,Thousands,1/,VF,..,..,..,169,341,295,340,470,558,645,748,937,1126,1419,1856,2417,2932,3514,3256,3672.6,4131.3,4735.5,5118,5926.8,6406,2657.8,5688.599999999999,7543.8,
8,1.15,8-1.15,,,,Personal,,Thousands,,,..,..,..,106,172,218,243,370,470,582,680,889,1060,1340,1804,2370,2889,3472,3206,3624.4,4089.2,4676.8,5049.5,5839.6,6304.8,2542.5,5588.4,7437.5,
8,1.18,8-1.18,,,,Business and professional,,Thousands,,,..,..,..,63,169,77,97,100,88,63,68,48,66,79,52,47,43,42,50,48.2,42.1,58.7,68.5,87.2,101.2,115.3,100.2,106.3,
12,0,12-0,ALGERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad.
12,1.14,12-1.14,,,Total,,,Thousands,1/,VF,..,..,..,..,..,..,..,..,305,368,441,467,511,556,656,655,902,982,964,940.2,1083,1322.6999999999998,1708,2018.8,1933.8,510.1,67,757.4000000000001,
12,1.15,12-1.15,,,,Personal,,Thousands,,,..,..,..,..,..,..,..,..,240,267,323,321,326,359,429,377,630,702,672,611.6,723,942.3,1470,1837.7,1775.7,474.5,21.6,701.2,
