INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Arrivals by mode of transport,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
4,0,4-0,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.19,4-1.19,,,Total,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,1.20,4-1.20,,,,Air,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,1.21,4-1.21,,,,Water,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,1.22,4-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
8,0,8-0,ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad. Including in transit visitors.
8,1.19,8-1.19,,,Total,,,Thousands,1/,VF,304,287,119,184,371,317,354,470,558,646,748,937,1126,1419,1856,2417,2932,3514,3256,3672.7,4131,4736,5117.6,5926.799999999999,6406.1,2657.8,5688.700000000001,7543.799999999999,
8,1.20,8-1.20,,,,Air,,Thousands,,,45,39,32,79,86,72,91,80,87,103,128,151,182,206,227,246,267,273,314,337.2,401,457,577.8,691.6,783.9,269.8,764.7,1250,
8,1.21,8-1.21,,,,Water,,Thousands,,,83,78,19,33,152,79,103,111,120,139,130,141,162,189,215,216,191,180,182,198,211,276,393,439.3,468.4,64.1,205.9,383.9,
8,1.22,8-1.22,,,,Land,,Thousands,,,176,170,68,72,133,166,160,279,351,404,490,645,782,1024,1414,1955,2474,3061,2760,3137.5,3519,4003,4146.8,4795.9,5153.8,2323.9,4718.1,5909.9,
12,0,12-0,ALGERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including nationals residing abroad.
12,1.19,12-1.19,,,Total,,,Thousands,1/,VF,519,605,634,..,749,866,901,988,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
