INDEX,Unnamed: 1,Unnamed: 2,4. TOURISM INDUSTRIES: Accommodation for visitors in hotels and similar establishments,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
4,0,4-0,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation for visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.13,4-4.13,,,Number of establishments,,,Units,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,4.14,4-4.14,,,Number of rooms,,,Units,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,4.15,4-4.15,,,Number of bed-places,,,Units,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,4.16,4-4.16,,,Occupancy rate / rooms,,,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,4.17,4-4.17,,,Occupancy rate / bed-places,,,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,4.18,4-4.18,,,Average length of stay,,,Nights,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
8,0,8-0,ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation for visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Source: Business Register.
2/ Until 2016: the figures are updated with the Structural Business Survey.
3/ From 2018 Source: Accomodation Establishments Survey (Only NACE 55.10 of NACE Rev.2)."
8,4.13,8-4.13,,,Number of establishments,,,Units,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1021,1126,1237,1256,1385,
8,4.14,8-4.14,,,Number of rooms,,,Units,2/ 3/,..,..,..,..,..,..,..,2283,2337,2376,4341,4834,6876,10112,10118,14328,12428,14652,14146,15081,12986,17692,..,30524,33798,34713,35802,42464,
8,4.15,8-4.15,,,Number of bed-places,,,Units,2/ 3/,..,..,..,..,..,..,..,4532,4956,5539,7583,9204,14700,20539,22638,25110,24301,32004,29737,32879,29903,41376,..,69395,77974,82434,85403,96986,
8,4.16,8-4.16,,,Occupancy rate / rooms,,,Percent,3/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.53,21.81,10.59,17.5,18.9,
8,4.17,8-4.17,,,Occupancy rate / bed-places,,,Percent,3/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.38,24.41,10.12,17,19,
8,4.18,8-4.18,,,Average length of stay,,,Nights,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.43,2.58,2.34,2.6,2.4,
12,0,12-0,ALGERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation for visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4.13,12-4.13,,,Number of establishments,,,Units,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1195,1231,1289,1368,1417,1449,1502,1576,
12,4.14,12-4.14,,,Number of rooms,,,Units,,31805,32347,32837,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
12,4.15,12-4.15,,,Number of bed-places,,,Units,,63614,64695,65704,57599,66902,67087,66523,72567,77473,82034,82808,84559,84869,85000,86383,92377,94021,96898,98804,99605,102244,107420,112264,119155,125676,127614,132266,145526,
12,4.16,12-4.16,,,Occupancy rate / rooms,,,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
12,4.17,12-4.17,,,Occupancy rate / bed-places,,,Percent,,33.34,33.64,40.2,37,38,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
12,4.18,12-4.18,,,Average length of stay,,,Nights,,..,..,..,..,..,3.02,3.39,4.02,..,..,..,..,..,..,..,..,..,..,..,..,1.69,1.68,1.68,1.67,1.68,1.61,..,2,
16,0,16-0,AMERICAN SAMOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation for visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
