1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,country,ISO3,rec_rate
,,,,,,,,,,,,,17.0,36.0,75.0,85.0,102.0,138.0,109.0,79.0,49.0,2.0,28.0,72.0,65.0,,,AFGHANISTAN,AFG,
65.0,77.0,27.0,54.0,211.0,389.0,446.0,487.0,522.0,735.0,854.0,1012.0,1378.0,1715.0,1828.0,1611.0,1632.0,1463.0,1473.0,1700.0,1499.0,1693.0,1943.0,2186.0,2329.0,1134.0,2257.0,2957.1,ALBANIA,ALB,1.269686560755689
32.0,45.0,28.0,74.0,80.0,102.0,100.0,111.0,112.0,178.0,184.0,220.0,219.0,323.0,246.0,220.0,209.0,217.0,250.0,258.0,311.0,209.0,141.0,168.0,112.0,43.0,71.4,175.7,ALGERIA,DZA,1.5687499999999999
,,,,,,,,,,,,,,,,,,,,,22.0,22.0,,,,,,AMERICAN SAMOA,ASM,
,,,,,,,,,,,,,,,,,,,,,,,,1897.0,1345.0,1885.4,,ANDORRA,AND,
10.0,9.0,9.0,8.0,13.0,18.0,22.0,37.0,49.0,66.0,88.0,75.0,225.0,285.0,534.0,719.0,646.0,706.0,1234.0,1589.0,1163.0,623.0,880.0,544.0,384.0,16.0,22.0,19.7,ANGOLA,AGO,0.05130208333333333
50.0,51.0,60.0,62.0,58.0,56.0,62.0,57.0,64.0,69.0,86.0,107.0,115.0,109.0,94.0,99.0,112.0,113.0,122.0,136.0,134.0,136.0,141.0,118.0,168.0,48.1,58.8,134.0,ANGUILLA,AIA,0.7976190476190477
247.0,258.0,278.0,282.0,290.0,291.0,272.0,274.0,300.0,337.0,309.0,327.0,338.0,334.0,305.0,298.0,312.0,319.0,299.0,708.0,710.0,753.0,737.0,776.0,904.0,412.0,539.0,773.0,ANTIGUA AND BARBUDA,ATG,0.8550884955752213
2222.0,2621.0,2778.0,3025.0,2898.0,2904.0,2642.0,1535.0,2006.0,2235.0,2729.0,3351.0,4325.0,4664.0,3989.0,4989.0,5431.0,5014.0,4525.0,4960.0,4927.0,4967.0,5370.0,5563.0,5241.0,1727.47,394.0,3474.0,ARGENTINA,ARG,0.6628506010303378
1.0,12.0,20.0,24.0,31.0,38.0,65.0,63.0,73.0,172.0,223.0,370.0,484.0,518.0,530.0,646.0,722.0,817.0,880.0,966.0,936.0,1017.0,1204.0,1329.0,1528.0,287.0,784.0,2439.1,ARMENIA,ARM,1.5962696335078534
521.0,620.0,689.0,741.0,729.0,814.0,822.0,834.0,858.0,1057.0,1097.0,1064.0,1213.0,1351.0,1222.0,1251.0,1351.0,1402.0,1495.0,1605.0,1650.0,1757.0,1855.0,2033.0,2104.0,1078.0,1785.0,2303.0,ARUBA,ABW,1.0945817490494296
8130.0,9519.0,9456.0,8130.0,9258.0,9375.0,9222.0,10044.0,12620.0,15212.0,16750.0,17538.0,21774.0,23986.0,24566.0,28472.0,31582.0,31557.0,32887.0,35829.0,34269.0,37019.0,41762.0,45098.0,45729.0,25666.0,17062.0,23199.0,AUSTRALIA,AUS,0.5073148330381159
13435.0,12830.0,11018.0,11241.0,10847.0,9899.0,9948.0,10803.0,13307.0,15150.0,16243.0,16512.0,18557.0,21630.0,19168.0,18751.0,19791.0,18931.0,20221.0,20913.0,18292.0,19244.0,20333.0,23233.0,22983.0,13706.0,9841.0,19175.0,AUSTRIA,AUT,0.8343123178001132
70.0,46.0,162.0,125.0,81.0,63.0,43.0,51.0,58.0,65.0,78.0,117.0,178.0,191.0,379.0,657.0,1287.0,2433.0,2365.0,2432.0,2309.0,2714.0,3012.0,2634.0,1791.5,304.0,313.0,823.3,AZERBAIJAN,AZE,0.45955902874686017
1346.0,1398.0,1416.0,1354.0,1583.0,1738.0,1648.0,1760.0,1757.0,1884.0,2071.0,2056.0,2187.0,2144.0,2014.0,2147.0,2142.0,2311.0,2285.0,2316.0,2537.0,3074.0,2930.0,3728.0,4125.0,967.0,2322.0,3515.0,BAHAMAS,BHS,0.8521212121212122
247.0,263.0,311.0,366.0,518.0,573.0,630.0,740.0,720.0,864.0,920.0,1048.0,1105.0,1166.0,1118.0,1362.0,1035.0,1059.0,1175.0,1208.0,2705.0,3846.0,4245.0,3689.0,3681.0,673.0,1813.0,3802.0,BAHRAIN,BHR,1.032871502309155
25.0,33.0,62.0,52.0,50.0,50.0,48.0,57.0,57.0,67.0,75.0,79.0,76.0,75.0,70.0,81.0,87.0,103.0,129.0,153.0,150.0,214.0,341.0,353.0,388.0,217.0,272.0,419.3,BANGLADESH,BGD,1.0806701030927834
620.0,657.0,661.0,709.0,724.0,785.0,719.0,687.0,831.0,834.0,897.0,1061.0,1191.0,1196.0,1073.0,1038.0,971.0,929.0,969.0,887.0,947.0,1038.0,1081.0,1118.0,1250.0,578.0,627.0,928.6,BARBADOS,BRB,0.74288
23.0,55.0,25.0,22.0,12.0,93.0,211.0,234.0,267.0,270.0,253.0,286.0,324.0,363.0,370.0,440.0,487.0,685.0,791.0,868.0,729.0,711.0,801.0,883.0,901.0,359.0,427.0,,BELARUS,BLR,
4548.0,4844.0,4529.0,4623.0,6472.0,6592.0,6887.0,6935.0,8193.0,9208.0,9845.0,10311.0,11015.0,12020.0,11461.0,11393.0,12750.0,12498.0,13384.0,13918.0,7865.0,7648.0,8396.0,8880.0,8829.0,6402.0,6289.0,6939.48,BELGIUM,BEL,0.7859870880054366
